Quantity,Discount,Profit,Shipping Cost,Month,Year,Day_of_Week,Is_Weekend,Total_sales,Day_of_Month,Order Priority_Encoded,Ship Mode_Encoded,Market_Encoded,Category_Encoded,Sub-Category_Encoded
12,0.2,135.4068,26.375915188145832,12,2011,0,0,1205.3279873285242,12,1,2,6,0,16
6,0.0,1068.66,26.375915188145832,9,2011,2,0,1205.3279873285242,14,1,0,1,2,13
4,0.0,1371.9804,26.375915188145832,9,2011,2,0,1205.3279873285242,14,1,1,6,2,11
4,0.5,-3839.9904,26.375915188145832,11,2014,2,0,1205.3279873285242,5,1,1,6,2,11
13,0.0,1697.67,26.375915188145832,1,2014,1,0,1205.3279873285242,14,1,3,4,2,6
5,0.1,511.095,26.375915188145832,1,2011,0,0,1205.3279873285242,10,3,0,0,2,13
6,0.17,-77.2038,26.375915188145832,8,2013,3,0,1205.3279873285242,22,1,3,0,2,13
7,0.0,632.52,26.375915188145832,11,2014,1,0,1205.3279873285242,11,1,3,0,2,13
13,0.0,2097.03,26.375915188145832,9,2014,4,0,1205.3279873285242,26,3,2,0,0,4
9,0.0,404.73,26.375915188145832,12,2012,3,0,1205.3279873285242,13,1,3,4,2,13
7,0.2,377.244,26.375915188145832,9,2011,4,0,1205.3279873285242,23,0,0,4,1,1
5,0.0,4630.4755,26.375915188145832,9,2011,4,0,1205.3279873285242,23,3,3,6,1,3
5,0.1,720.75,26.375915188145832,3,2013,4,0,1205.3279873285242,8,0,1,4,0,5
6,0.0,110.34,26.375915188145832,8,2014,3,0,1205.3279873285242,28,1,0,0,0,5
7,0.0,500.01,26.375915188145832,5,2014,3,0,1205.3279873285242,1,0,1,0,2,11
11,0.0,868.12,26.375915188145832,12,2014,3,0,1205.3279873285242,18,1,2,5,0,5
3,0.2,1143.891,26.375915188145832,6,2012,5,1,1205.3279873285242,16,1,0,6,1,3
8,0.0,527.04,26.375915188145832,9,2014,3,0,1205.3279873285242,18,0,0,3,2,6
5,0.2,839.986,26.375915188145832,7,2014,4,0,1205.3279873285242,25,1,1,6,2,6
5,0.0,153.75,26.375915188145832,12,2011,5,1,1205.3279873285242,17,0,0,0,0,4
4,0.0,593.88,26.375915188145832,12,2013,2,0,1205.3279873285242,18,1,1,1,2,13
4,0.0,732.72,26.375915188145832,5,2012,2,0,1205.3279873285242,30,0,0,0,2,6
7,0.0,1480.4671,26.375915188145832,3,2012,0,0,1205.3279873285242,19,1,0,6,2,6
2,0.0,226.86,26.375915188145832,5,2012,4,0,1205.3279873285242,25,0,2,0,0,16
9,0.1,1164.267,26.375915188145832,8,2014,1,0,1205.3279873285242,5,1,0,0,1,1
13,0.2,327.5922,26.375915188145832,8,2014,6,1,1205.3279873285242,24,3,2,6,2,13
7,0.0,581.91,26.375915188145832,3,2014,1,0,1205.3279873285242,11,1,2,0,0,4
4,0.0,2229.024,26.375915188145832,11,2012,3,0,1205.3279873285242,8,3,1,6,2,11
7,0.0,313.11,26.375915188145832,8,2014,0,0,1205.3279873285242,11,3,2,4,2,13
9,0.0,225.18,26.375915188145832,8,2013,5,1,1205.3279873285242,31,0,0,4,2,13
11,0.0,656.37,26.375915188145832,1,2014,5,1,1205.3279873285242,18,1,3,0,0,5
7,0.0,694.5015,26.375915188145832,12,2013,0,0,1205.3279873285242,2,0,2,6,1,1
5,0.0,1050.15,26.375915188145832,12,2014,6,1,1205.3279873285242,7,1,0,4,0,4
4,0.0,652.92,26.375915188145832,12,2014,1,0,1205.3279873285242,16,0,0,0,0,16
4,0.0,119.28,26.375915188145832,11,2014,3,0,1205.3279873285242,20,0,1,5,2,13
4,0.0,130.08,26.375915188145832,11,2011,2,0,1205.3279873285242,9,0,0,3,0,16
7,0.0,1055.25,26.375915188145832,6,2013,4,0,1205.3279873285242,7,1,0,0,0,5
13,0.0,121.94,26.375915188145832,11,2011,1,0,1205.3279873285242,22,3,0,5,1,1
8,0.0,1523.52,26.375915188145832,3,2013,4,0,1205.3279873285242,29,1,2,1,0,5
7,0.47,-452.8104,26.375915188145832,8,2014,1,0,1205.3279873285242,26,1,0,0,0,16
6,0.1,38.07,26.375915188145832,9,2012,3,0,1205.3279873285242,20,1,2,4,2,13
5,0.1,858.9,26.375915188145832,5,2014,4,0,1205.3279873285242,16,0,2,0,2,13
5,0.0,3177.475,26.375915188145832,3,2012,4,0,1205.3279873285242,16,3,3,6,1,3
10,0.0,728.7,26.375915188145832,11,2013,6,1,1205.3279873285242,24,0,0,4,2,6
9,0.0,1183.95,26.375915188145832,11,2011,2,0,1205.3279873285242,9,3,2,0,2,6
5,0.0,91.95,26.375915188145832,10,2011,4,0,1205.3279873285242,28,0,1,0,0,5
14,0.1,63.546,26.375915188145832,11,2014,2,0,1205.3279873285242,19,1,3,4,0,5
14,0.0,2597.28,26.375915188145832,10,2014,1,0,1205.3279873285242,28,3,2,1,2,6
4,0.0,2504.2216,26.375915188145832,1,2014,4,0,1205.3279873285242,17,1,2,6,1,3
9,0.3,-630.882,26.375915188145832,8,2014,0,0,1205.3279873285242,18,3,2,6,0,5
5,0.0,965.85,26.375915188145832,1,2013,1,0,1205.3279873285242,29,2,3,4,2,13
6,0.17,-269.7912,26.375915188145832,9,2012,1,0,1205.3279873285242,18,0,2,0,1,1
4,0.0,113.28,26.375915188145832,11,2013,5,1,1205.3279873285242,23,3,1,1,1,1
9,0.1,1124.901,26.375915188145832,6,2012,2,0,1205.3279873285242,13,1,1,0,2,6
9,0.0,1192.86,26.375915188145832,10,2013,0,0,1205.3279873285242,28,3,0,0,0,4
6,0.0,0.0,26.375915188145832,12,2013,3,0,1205.3279873285242,12,1,0,0,2,6
3,0.0,498.33,26.375915188145832,5,2012,4,0,1205.3279873285242,25,0,2,0,2,13
6,0.0,320.3172,26.375915188145832,5,2013,0,0,1205.3279873285242,6,0,0,6,0,16
5,0.1,513.36,26.375915188145832,12,2013,0,0,1205.3279873285242,2,0,1,4,1,1
6,0.0,1159.02,26.375915188145832,12,2014,1,0,1205.3279873285242,23,0,2,2,2,13
7,0.25,197.19,26.375915188145832,1,2013,0,0,1205.3279873285242,28,1,0,0,0,5
2,0.0,738.96,26.375915188145832,5,2012,0,0,1205.3279873285242,7,1,1,0,0,16
7,0.0,927.78,26.375915188145832,11,2013,2,0,1205.3279873285242,27,1,0,4,0,4
7,0.1,96.39,26.375915188145832,11,2012,2,0,1205.3279873285242,28,3,2,0,0,5
9,0.15,-0.054,26.375915188145832,9,2012,5,1,1205.3279873285242,29,0,1,4,2,11
7,0.1,34.944,26.375915188145832,9,2013,1,0,1205.3279873285242,3,1,2,4,1,1
6,0.0,1465.2,26.375915188145832,7,2013,4,0,1205.3279873285242,26,2,3,1,2,13
6,0.1,861.372,26.375915188145832,11,2014,2,0,1205.3279873285242,19,2,3,0,2,13
4,0.15,790.416,26.375915188145832,6,2012,1,0,1205.3279873285242,19,1,1,4,2,13
6,0.0,178.92,26.375915188145832,10,2012,3,0,1205.3279873285242,11,3,0,5,2,13
5,0.0,308.4,26.375915188145832,8,2011,1,0,1205.3279873285242,9,0,0,4,2,6
8,0.15,1517.712,26.375915188145832,11,2011,5,1,1205.3279873285242,5,1,2,4,2,13
7,0.0,366.6348,26.375915188145832,11,2014,4,0,1205.3279873285242,7,2,3,6,0,16
9,0.0,914.76,26.375915188145832,4,2013,4,0,1205.3279873285242,26,1,0,5,0,4
8,0.1,747.816,26.375915188145832,12,2013,3,0,1205.3279873285242,26,1,1,0,1,1
11,0.5,-2211.165,26.375915188145832,3,2013,2,0,1205.3279873285242,13,1,1,4,0,5
7,0.0,2365.9818,26.375915188145832,4,2013,2,0,1205.3279873285242,17,3,3,6,2,11
9,0.5,-1783.08,26.375915188145832,4,2012,3,0,1205.3279873285242,5,1,1,4,2,13
4,0.0,261.24,26.375915188145832,12,2012,2,0,1205.3279873285242,26,0,2,4,0,4
5,0.1,587.19,26.375915188145832,4,2013,3,0,1205.3279873285242,18,0,0,0,2,6
7,0.0,367.08,26.375915188145832,5,2011,1,0,1205.3279873285242,24,1,2,0,1,1
7,0.2,334.4985,26.375915188145832,5,2012,1,0,1205.3279873285242,22,1,3,6,2,11
5,0.0,589.2,26.375915188145832,5,2013,3,0,1205.3279873285242,16,1,2,4,2,6
7,0.0,327.9458,26.375915188145832,12,2011,1,0,1205.3279873285242,6,0,0,6,1,14
11,0.1,1868.13,26.375915188145832,2,2011,2,0,1205.3279873285242,16,3,2,4,0,5
4,0.0,116.4,26.375915188145832,5,2013,4,0,1205.3279873285242,31,0,0,0,0,4
6,0.1,258.93,26.375915188145832,10,2013,1,0,1205.3279873285242,1,1,0,0,2,6
4,0.0,2239.9872,26.375915188145832,12,2011,2,0,1205.3279873285242,14,3,3,6,2,11
13,0.0,4946.37,26.375915188145832,12,2013,2,0,1205.3279873285242,18,3,3,6,1,3
5,0.1,-37.83,26.375915188145832,12,2013,2,0,1205.3279873285242,11,0,2,0,2,6
6,0.15,-265.761,26.375915188145832,3,2014,1,0,1205.3279873285242,18,0,2,4,2,6
3,0.0,312.66,26.375915188145832,12,2014,4,0,1205.3279873285242,19,0,0,0,2,13
7,0.0,493.7856,26.375915188145832,12,2011,1,0,1205.3279873285242,20,1,0,6,0,16
4,0.4,1119.9968,26.375915188145832,5,2013,4,0,1205.3279873285242,24,3,3,6,2,6
9,0.0,260.6112,26.375915188145832,10,2011,4,0,1205.3279873285242,14,0,0,6,0,5
7,0.002,508.00876,26.375915188145832,9,2014,3,0,1205.3279873285242,18,0,1,5,2,6
5,0.0,572.55,26.375915188145832,11,2013,0,0,1205.3279873285242,25,0,0,0,2,6
9,0.0,1025.46,26.375915188145832,11,2013,3,0,1205.3279873285242,7,0,0,0,2,0
8,0.07,140.8248,26.375915188145832,7,2014,5,1,1205.3279873285242,19,1,3,0,0,4
7,0.17,946.6338,26.375915188145832,8,2012,3,0,1205.3279873285242,16,1,1,0,2,13
4,0.2,100.196,26.375915188145832,8,2013,1,0,1205.3279873285242,27,0,0,6,0,5
10,0.07,156.402,26.375915188145832,1,2012,2,0,1205.3279873285242,11,1,3,0,0,4
7,0.0,785.82,26.375915188145832,1,2013,0,0,1205.3279873285242,28,3,0,5,1,1
8,0.5,-286.92,26.375915188145832,6,2012,3,0,1205.3279873285242,14,0,0,0,2,11
8,0.0,673.8816,26.375915188145832,12,2011,3,0,1205.3279873285242,1,1,0,6,0,5
4,0.2,503.64,26.375915188145832,6,2013,1,0,1205.3279873285242,25,1,2,6,2,11
14,0.0,988.12,26.375915188145832,12,2012,3,0,1205.3279873285242,6,1,0,5,2,0
7,0.0,534.24,26.375915188145832,9,2013,3,0,1205.3279873285242,5,1,2,4,2,6
6,0.0,268.38,26.375915188145832,9,2014,3,0,1205.3279873285242,18,1,0,1,2,13
8,0.2,256.784,26.375915188145832,9,2014,4,0,1205.3279873285242,12,0,1,6,0,5
8,0.17,210.8568,26.375915188145832,8,2012,4,0,1205.3279873285242,3,1,3,0,1,1
3,0.1,747.612,26.375915188145832,12,2014,1,0,1205.3279873285242,9,1,0,0,2,13
5,0.0,174.15,26.375915188145832,10,2012,3,0,1205.3279873285242,25,0,0,0,2,6
9,0.1,321.84,26.375915188145832,7,2012,4,0,1205.3279873285242,13,0,2,6,0,5
7,0.1,-214.725,26.375915188145832,8,2013,1,0,1205.3279873285242,27,1,2,0,0,4
12,0.0,523.08,26.375915188145832,5,2011,4,0,1205.3279873285242,13,1,3,0,2,0
7,0.5,-1784.895,26.375915188145832,11,2011,3,0,1205.3279873285242,3,1,0,4,1,1
3,0.1,296.658,26.375915188145832,8,2014,5,1,1205.3279873285242,2,0,0,4,0,4
10,0.0,36.0,26.375915188145832,9,2011,1,0,1205.3279873285242,20,0,2,4,2,6
2,0.1,679.996,26.375915188145832,1,2014,2,0,1205.3279873285242,8,3,0,6,2,11
5,0.1,160.605,26.375915188145832,3,2013,0,0,1205.3279873285242,11,1,3,0,2,13
5,0.0,848.4,26.375915188145832,2,2012,3,0,1205.3279873285242,2,1,0,4,2,13
4,0.32,-317.1528,26.375915188145832,9,2013,0,0,1205.3279873285242,9,0,2,6,0,4
13,0.2,38.948,26.375915188145832,4,2014,2,0,1205.3279873285242,9,1,3,5,0,16
7,0.0,2400.9657,26.375915188145832,3,2013,5,1,1205.3279873285242,2,3,3,6,2,11
5,0.0,887.6,26.375915188145832,3,2014,2,0,1205.3279873285242,19,1,0,5,1,1
6,0.0,1080.18,26.375915188145832,10,2013,2,0,1205.3279873285242,2,1,0,0,1,1
7,0.0,1444.59,26.375915188145832,1,2013,5,1,1205.3279873285242,12,3,0,4,1,1
8,0.0,1146.24,26.375915188145832,8,2014,2,0,1205.3279873285242,20,3,3,3,2,13
3,0.0,311.85,26.375915188145832,12,2011,5,1,1205.3279873285242,17,0,0,0,0,16
7,0.1,674.163,26.375915188145832,3,2014,4,0,1205.3279873285242,14,1,3,0,1,1
5,0.0,244.6155,26.375915188145832,3,2013,1,0,1205.3279873285242,26,0,1,6,2,0
8,0.07,125.1216,26.375915188145832,7,2014,2,0,1205.3279873285242,9,1,3,0,0,4
9,0.27,-128.7198,26.375915188145832,6,2013,1,0,1205.3279873285242,11,1,3,0,0,5
9,0.1,1758.888,26.375915188145832,8,2011,2,0,1205.3279873285242,10,3,3,4,2,13
5,0.17,-0.024,26.375915188145832,3,2014,0,0,1205.3279873285242,17,1,3,0,2,13
5,0.1,-36.39,26.375915188145832,1,2013,2,0,1205.3279873285242,2,3,0,0,0,4
5,0.7,-6599.978,26.375915188145832,11,2013,1,0,1205.3279873285242,26,2,3,6,2,11
5,0.17,-0.024,26.375915188145832,10,2012,2,0,1205.3279873285242,10,1,0,0,2,13
8,0.0,647.892,26.375915188145832,10,2014,3,0,1205.3279873285242,23,1,0,6,2,13
5,0.3,-740.295,26.375915188145832,6,2011,4,0,1205.3279873285242,17,1,0,0,0,16
7,0.1,127.134,26.375915188145832,4,2014,3,0,1205.3279873285242,3,1,0,4,0,4
5,0.0,488.6,26.375915188145832,5,2011,1,0,1205.3279873285242,17,1,2,5,2,13
6,0.0,744.48,26.375915188145832,2,2014,1,0,1205.3279873285242,11,1,2,3,0,5
6,0.0,139.32,26.375915188145832,10,2013,5,1,1205.3279873285242,12,0,1,4,2,0
3,0.5,-944.9946,26.375915188145832,9,2011,0,0,1205.3279873285242,19,1,3,6,2,11
6,0.0,629.28,26.375915188145832,7,2014,3,0,1205.3279873285242,17,0,2,3,1,1
11,0.15,664.719,26.375915188145832,11,2014,5,1,1205.3279873285242,22,2,3,4,2,11
7,0.35,-754.4145,26.375915188145832,5,2011,0,0,1205.3279873285242,30,0,0,4,0,16
5,0.0,1439.976,26.375915188145832,4,2014,1,0,1205.3279873285242,1,1,2,6,2,6
8,0.0,1440.24,26.375915188145832,7,2014,3,0,1205.3279873285242,17,3,0,0,1,1
9,0.15,745.875,26.375915188145832,8,2014,4,0,1205.3279873285242,29,3,3,4,2,13
6,0.3,204.282,26.375915188145832,12,2012,2,0,1205.3279873285242,26,0,1,0,0,16
7,0.0,1267.77,26.375915188145832,11,2014,1,0,1205.3279873285242,11,1,3,0,1,1
5,0.47,-140.715,26.375915188145832,5,2013,2,0,1205.3279873285242,1,0,2,0,0,16
7,0.0,1424.85,26.375915188145832,8,2011,1,0,1205.3279873285242,16,3,3,4,2,13
8,0.0,1069.2,26.375915188145832,12,2014,2,0,1205.3279873285242,3,1,3,0,0,16
5,0.1,591.045,26.375915188145832,6,2013,1,0,1205.3279873285242,25,1,3,0,0,5
6,0.0,2071.44,26.375915188145832,1,2013,0,0,1205.3279873285242,21,3,2,4,0,16
3,0.2,1644.2913,26.375915188145832,10,2013,1,0,1205.3279873285242,22,3,2,6,1,3
4,0.17,539.4432,26.375915188145832,7,2014,5,1,1205.3279873285242,12,0,2,0,1,1
7,0.2,257.5944,26.375915188145832,12,2013,3,0,1205.3279873285242,26,3,0,6,2,13
2,0.1,134.304,26.375915188145832,9,2014,0,0,2014.848,1,0,1,4,1,1
7,0.0,792.2691,26.375915188145832,11,2011,3,0,1205.3279873285242,17,1,3,6,1,14
9,0.1,1644.03,26.375915188145832,6,2011,1,0,1205.3279873285242,7,3,2,0,1,1
6,0.1,-11.934,26.375915188145832,10,2011,3,0,1205.3279873285242,13,0,1,4,1,14
4,0.0,0.0,26.375915188145832,6,2013,0,0,1205.3279873285242,10,0,1,0,2,6
10,0.1,162.12,26.375915188145832,12,2014,5,1,1205.3279873285242,13,3,3,0,1,1
5,0.0,129.294,26.375915188145832,10,2014,0,0,1205.3279873285242,13,1,3,6,0,4
3,0.15,-84.3705,26.375915188145832,6,2014,1,0,1205.3279873285242,10,1,0,0,1,1
14,0.0,779.52,26.375915188145832,2,2011,1,0,1205.3279873285242,15,0,0,1,1,14
7,0.0,1470.21,26.375915188145832,11,2013,3,0,1205.3279873285242,28,2,3,4,0,4
5,0.0,1668.205,26.375915188145832,6,2014,2,0,1205.3279873285242,18,1,3,6,2,11
9,0.0,481.869,26.375915188145832,9,2013,4,0,1205.3279873285242,20,1,0,6,1,14
6,0.2,-332.28,26.375915188145832,8,2011,1,0,1205.3279873285242,9,1,1,5,2,13
3,0.0,352.3065,26.375915188145832,6,2011,1,0,1205.3279873285242,21,0,1,6,2,13
4,0.0,0.0,26.375915188145832,8,2012,3,0,1205.3279873285242,2,1,0,0,2,6
5,0.1,760.305,26.375915188145832,6,2012,1,0,1205.3279873285242,19,1,1,4,1,1
6,0.2,-219.1644,26.375915188145832,7,2012,0,0,1205.3279873285242,16,0,1,6,0,5
10,0.0,570.9,26.375915188145832,8,2013,4,0,1205.3279873285242,2,0,1,3,2,11
9,0.0,802.17,26.375915188145832,5,2014,3,0,1205.3279873285242,22,0,2,0,1,14
11,0.0,2939.31,26.375915188145832,2,2011,3,0,1205.3279873285242,10,3,3,0,2,13
3,0.0,119.97,26.375915188145832,9,2013,4,0,1205.3279873285242,27,0,1,4,0,4
3,0.0,328.23,26.375915188145832,6,2014,0,0,1205.3279873285242,2,0,0,0,0,4
4,0.1,484.224,26.375915188145832,9,2013,0,0,1205.3279873285242,30,0,0,0,0,4
4,0.0,664.44,26.375915188145832,7,2011,1,0,1205.3279873285242,19,1,0,0,2,13
8,0.0,594.72,26.375915188145832,8,2014,3,0,1205.3279873285242,14,3,2,3,0,4
4,0.4,191.9968,26.375915188145832,7,2013,4,0,1205.3279873285242,26,0,0,6,2,6
6,0.0,977.22,26.375915188145832,10,2014,4,0,1205.3279873285242,31,1,0,0,2,6
8,0.0,833.76,26.375915188145832,7,2013,3,0,1205.3279873285242,25,3,3,0,2,13
4,0.0,361.44,26.375915188145832,10,2014,1,0,1205.3279873285242,7,1,3,0,2,13
5,0.0,830.55,26.375915188145832,10,2014,4,0,1205.3279873285242,17,1,3,0,2,13
4,0.1,378.876,26.375915188145832,12,2013,1,0,1205.3279873285242,3,0,2,0,0,5
6,0.15,325.701,26.375915188145832,11,2014,5,1,1205.3279873285242,8,1,0,0,1,1
3,0.0,593.91,26.375915188145832,6,2013,0,0,1205.3279873285242,10,0,1,0,0,5
3,0.1,498.807,26.375915188145832,9,2011,2,0,1205.3279873285242,21,0,2,4,0,4
4,0.1,734.928,26.375915188145832,6,2011,1,0,1205.3279873285242,21,1,0,4,0,5
6,0.2,1049.985,26.375915188145832,5,2014,4,0,1205.3279873285242,9,1,3,6,2,6
7,0.2,-1049.3406,26.375915188145832,9,2014,1,0,1205.3279873285242,23,3,2,6,1,15
4,0.0,606.36,26.375915188145832,11,2014,2,0,1205.3279873285242,26,0,2,1,1,1
2,0.0,140.16,26.375915188145832,3,2012,4,0,1205.3279873285242,30,0,0,1,2,13
9,0.0,856.44,26.375915188145832,11,2011,3,0,1205.3279873285242,10,3,2,5,1,1
6,0.2,1453.1238,26.375915188145832,8,2014,4,0,1205.3279873285242,22,3,3,6,1,3
7,0.0,1989.54,26.375915188145832,8,2012,2,0,1205.3279873285242,1,3,2,4,1,1
7,0.0,412.5394,26.375915188145832,12,2014,1,0,1205.3279873285242,23,1,0,6,0,5
6,0.2,209.58,26.375915188145832,7,2014,4,0,1205.3279873285242,4,1,1,6,2,11
3,0.0,327.5922,26.375915188145832,11,2014,4,0,1205.3279873285242,21,0,0,6,2,13
4,0.0,946.68,26.375915188145832,1,2013,2,0,1205.3279873285242,23,1,3,3,0,16
7,0.07,709.9365,26.375915188145832,5,2011,5,1,1205.3279873285242,21,1,2,0,0,4
7,0.0,1420.02,26.375915188145832,9,2014,6,1,1205.3279873285242,28,1,0,4,0,4
5,0.15,357.1575,26.375915188145832,11,2011,6,1,1205.3279873285242,6,0,0,4,2,11
8,0.7,-2750.28,26.375915188145832,1,2014,1,0,1205.3279873285242,28,1,2,3,0,16
13,0.1,444.483,26.375915188145832,9,2014,5,1,1205.3279873285242,13,3,3,0,2,6
9,0.0,401.814,26.375915188145832,12,2012,5,1,1205.3279873285242,1,1,2,6,0,16
9,0.4,38.196,26.375915188145832,12,2011,3,0,1205.3279873285242,22,1,0,5,2,13
6,0.0,1072.44,26.375915188145832,2,2013,1,0,1205.3279873285242,5,0,2,1,0,4
3,0.0,394.65,26.375915188145832,12,2011,2,0,1205.3279873285242,28,0,0,0,2,6
5,0.0,700.98,26.375915188145832,5,2013,1,0,1205.3279873285242,28,1,2,6,0,5
4,0.0,814.2,26.375915188145832,4,2011,2,0,1205.3279873285242,27,1,0,1,2,13
4,0.0,886.68,26.375915188145832,10,2011,3,0,1205.3279873285242,6,1,3,0,0,16
7,0.3,-221.571,26.375915188145832,8,2013,5,1,1205.3279873285242,24,0,2,0,0,16
4,0.0,111.28,26.375915188145832,9,2013,5,1,1205.3279873285242,21,0,2,5,0,5
5,0.0,126.4,26.375915188145832,12,2014,2,0,1205.3279873285242,17,0,0,5,1,1
3,0.4,-509.997,26.375915188145832,9,2011,0,0,1205.3279873285242,19,3,2,6,2,11
4,0.0,742.632,26.375915188145832,7,2014,4,0,1205.3279873285242,4,1,1,6,2,0
7,0.0,1276.4871,26.375915188145832,5,2011,5,1,1205.3279873285242,21,1,3,6,1,3
5,0.0,54.3,26.375915188145832,6,2014,1,0,1205.3279873285242,3,1,3,5,1,1
5,0.0,106.0,26.375915188145832,9,2014,4,0,1205.3279873285242,12,0,0,5,2,13
2,0.0,140.22,26.375915188145832,4,2014,3,0,1205.3279873285242,17,0,1,0,2,13
7,0.15,-225.162,26.375915188145832,11,2012,2,0,1205.3279873285242,21,0,2,4,2,11
3,0.1,383.706,26.375915188145832,3,2014,3,0,1205.3279873285242,6,0,0,4,0,4
5,0.1,1112.13,26.375915188145832,7,2012,0,0,1205.3279873285242,23,1,3,4,2,13
7,0.17,318.8598,26.375915188145832,11,2014,4,0,1205.3279873285242,7,1,0,0,1,1
9,0.0,322.92,26.375915188145832,11,2014,5,1,1205.3279873285242,22,0,0,5,0,5
5,0.0,390.6,26.375915188145832,6,2011,5,1,1205.3279873285242,11,1,0,4,0,4
10,0.002,18.8592,26.375915188145832,9,2012,4,0,1205.3279873285242,14,1,3,5,2,6
7,0.4,44.436,26.375915188145832,11,2011,4,0,1205.3279873285242,25,0,1,0,2,6
8,0.0,1245.84,26.375915188145832,8,2012,4,0,1205.3279873285242,10,1,0,0,2,6
9,0.0,890.46,26.375915188145832,3,2013,2,0,1205.3279873285242,20,1,2,4,1,1
12,0.0,455.76,26.375915188145832,12,2013,0,0,1205.3279873285242,30,3,3,1,2,6
6,0.0,413.28,26.375915188145832,10,2012,3,0,1205.3279873285242,4,1,3,0,0,5
8,0.1,-11.16,26.375915188145832,8,2012,0,0,1205.3279873285242,6,0,0,4,2,13
5,0.27,117.657,26.375915188145832,10,2012,1,0,1205.3279873285242,2,1,1,0,0,5
3,0.17,428.121,26.375915188145832,3,2014,2,0,1205.3279873285242,26,0,0,0,1,1
5,0.002,441.2884,26.375915188145832,11,2014,4,0,1205.3279873285242,21,1,1,5,2,6
8,0.5,-1268.04,26.375915188145832,11,2011,2,0,1205.3279873285242,30,0,0,4,2,6
6,0.1,621.792,26.375915188145832,11,2011,3,0,1205.3279873285242,3,0,2,0,0,5
8,0.0,735.0336,26.375915188145832,11,2012,4,0,1205.3279873285242,23,3,2,6,1,1
8,0.0,341.76,26.375915188145832,12,2012,3,0,1205.3279873285242,6,1,1,3,2,6
